source_dataset,source_sheet,alloy,material_class,condition,loading_protocol,overload_ratio,delta_k_mpa_sqrt_m,dadn_mm_per_cycle,hardness_hv,microstructure_family,grain_size_um,temperature_C,stress_ratio_R,data_type,log_delta_k,log_dadn,is_austenitic,is_measured,grain_size_um_filled,inv_sqrt_grain_size
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,11.07636,1.66368e-05,367.58,tempered_martensitic,,20,,measured,1.0443970625911159,-4.778930204246515,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,11.09783,1.67625e-05,367.58,tempered_martensitic,,20,,measured,1.0452380678716056,-4.7756612091403445,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,11.11952,1.69289e-05,367.58,tempered_martensitic,,20,,measured,1.0460860403170271,-4.771371260405562,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,11.14149,1.71786e-05,367.58,tempered_martensitic,,20,,measured,1.0469432748149485,-4.765012232649684,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,11.16385,1.74064e-05,367.58,tempered_martensitic,,20,,measured,1.0478139925774381,-4.75929104058867,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,11.18658,1.7593e-05,367.58,tempered_martensitic,,20,,measured,1.0486973328064073,-4.754660097304676,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,11.20962,1.77732e-05,367.58,tempered_martensitic,,20,,measured,1.0495908904986004,-4.750234372013182,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,11.23297,1.79437e-05,367.58,tempered_martensitic,,20,,measured,1.0504945990109935,-4.7460880003164005,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,11.25662,1.80955e-05,367.58,tempered_martensitic,,20,,measured,1.0514080054611001,-4.742429412321413,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,11.28055,1.82192e-05,367.58,tempered_martensitic,,20,,measured,1.0523302748372096,-4.739470696694157,0,1,20.0,0.22360679774997896
